id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Tabou,CI,4.423,-7.3528,78.55,82,43,6.02,light rain
137,Severo-Kurilsk,RU,50.6789,156.125,32.07,98,100,17.27,snow
138,Jishou,CN,28.3167,109.7167,45.99,42,100,0.27,overcast clouds
139,Laguna,US,38.421,-121.4238,51.78,70,0,0.0,clear sky
140,Palmas,BR,-10.2128,-48.3603,72.61,97,100,2.01,light rain
141,Pisco,PE,-13.7,-76.2167,69.85,88,0,12.66,clear sky
142,Vestmannaeyjar,IS,63.4427,-20.2734,29.68,92,100,8.95,light snow
143,Bushehr,IR,28.9684,50.8385,68.83,60,3,5.44,clear sky
144,Ankang,CN,32.68,109.0172,43.41,70,73,0.54,broken clouds
145,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,64,20,8.05,few clouds
146,Pacific Grove,US,36.6177,-121.9166,52.56,78,0,10.0,clear sky
147,Lebu,CL,-37.6167,-73.65,59.34,93,7,7.09,clear sky
148,Springbok,ZA,-29.6643,17.8865,61.5,83,5,3.11,clear sky
149,Khatanga,RU,71.9667,102.5,-0.42,95,100,13.53,overcast clouds
150,Kruisfontein,ZA,-34.0033,24.7314,62.89,84,0,4.5,clear sky
151,Concordia,AR,-31.393,-58.0209,79.79,47,0,5.03,clear sky
152,Cherskiy,RU,68.75,161.3,-44.05,100,48,4.65,scattered clouds
153,Smithers,CA,54.7804,-127.1743,19.71,96,100,0.83,overcast clouds
154,Wanning,CN,18.8003,110.3967,63.82,83,100,9.75,overcast clouds
155,Ha Tinh,VN,18.3333,105.9,60.67,75,10,3.8,clear sky
156,Chapais,CA,49.7834,-74.8492,16.79,94,6,5.97,clear sky
157,Yauya,PE,-8.9833,-77.3,53.01,72,100,5.14,light rain
158,Hermanus,ZA,-34.4187,19.2345,67.8,89,89,6.58,overcast clouds
159,Houlton,US,46.1262,-67.8403,36.01,71,100,10.36,light rain
160,Ancud,CL,-41.8697,-73.8203,53.28,83,0,8.1,clear sky
161,Dakar,SN,14.6937,-17.4441,77.13,83,0,2.3,clear sky
162,Honiara,SB,-9.4333,159.95,83.86,75,79,3.6,broken clouds
163,Barranca,PE,-10.75,-77.7667,70.25,79,62,4.99,broken clouds
164,Dina,CA,52.9335,-110.0849,5.61,98,28,7.99,scattered clouds
165,Derzhavinsk,KZ,51.1,66.3167,3.97,85,5,14.58,clear sky
166,Maniitsoq,GL,65.4167,-52.9,21.34,83,100,9.95,overcast clouds
167,Kantunilkin,MX,21.0917,-87.45,73.58,88,3,3.38,clear sky
168,Fairbanks,US,64.8378,-147.7164,-7.91,77,75,3.44,light snow
169,Pipar,IN,26.3856,73.5378,57.24,35,0,7.83,clear sky
170,Hasanabad,IR,36.5465,61.0543,49.96,38,77,3.76,broken clouds
171,Kharp,RU,66.8014,65.8081,-2.54,93,61,1.77,broken clouds
172,Columbus,US,39.9612,-82.9988,41.68,94,100,12.66,mist
173,Caravelas,BR,-17.7125,-39.2481,72.14,74,100,11.54,overcast clouds
174,Mar Del Plata,AR,-38.0023,-57.5575,73.94,62,75,10.0,broken clouds
175,Hauterive,FR,46.0901,3.4459,45.36,91,46,2.62,scattered clouds
176,Cabo San Lucas,MX,22.8909,-109.9124,72.52,67,75,6.91,broken clouds
177,Inirida,CO,3.8653,-67.9239,73.11,94,22,3.02,few clouds
178,Necochea,AR,-38.5473,-58.7368,63.57,89,100,11.95,overcast clouds
179,Pangnirtung,CA,66.1451,-65.7125,20.25,97,100,2.48,light snow
180,Kaitangata,NZ,-46.2817,169.8464,63.54,71,26,8.08,scattered clouds
181,Santa Maria Del Oro,MX,25.9333,-105.3667,51.21,29,20,2.04,few clouds
182,Krasnoselkup,RU,65.7,82.4667,0.99,95,99,13.49,overcast clouds
